#index raw norm_full norm_ldro gray_ldro
1110 56 55 13 11
1111 32 31 7 4
1112 32 31 7 4
1113 32 31 7 4
1114 32 31 7 4
1115 32 31 7 4
1116 32 31 7 4
1117 32 31 7 4
1118 32 31 7 4
1119 32 31 7 4
1120 40 39 9 13
1121 48 47 11 14
1122 94 93 23 28
1123 58 57 14 9
1124 89 88 22 29
1125 13 12 3 2
1126 29 28 7 4
1127 13 12 3 2
1128 113 112 28 18
1129 29 28 7 4
1130 97 96 24 20
1131 41 40 10 15
1132 110 109 27 22
1133 2 1 0 0
1134 88 87 21 31
1135 121 120 30 17
1136 96 95 23 28
1137 19 18 4 6
1138 63 62 15 8
1139 114 113 28 18
1140 16 15 3 2
1141 83 82 20 30
1142 22 21 5 7
1143 89 88 22 29
1144 47 46 11 14
1145 108 107 26 23
1146 37 36 9 13
1147 73 72 18 27
1148 98 97 24 20
1149 27 26 6 5
1150 97 96 24 20
1151 34 33 8 12
1152 113 112 28 18
1153 103 102 25 21
1154 90 89 22 29
1155 81 80 20 30
1156 22 21 5 7
1157 2 1 0 0
1158 0 127 31 16
1159 1 0 0 0
1160 32 31 7 4
1161 16 15 3 2
1162 109 108 27 22
1163 35 34 8 12
1164 86 85 21 31
1165 92 91 22 29
1166 57 56 14 9
1167 33 32 8 12
1168 67 66 16 24
1169 27 26 6 5
1170 34 33 8 12
1171 83 82 20 30
1172 118 117 29 19
1173 53 52 13 11
1174 7 6 1 1
1175 56 55 13 11
1176 113 112 28 18
1177 123 122 30 17
1178 18 17 4 6
1179 9 8 2 3
1180 85 84 21 31
1181 87 86 21 31
1182 0 127 31 16
1183 0 127 31 16
1184 0 127 31 16
1185 0 127 31 16
1186 0 127 31 16
1187 0 127 31 16
1188 0 127 31 16
1189 0 127 31 16
1190 8 7 1 1
1191 16 15 3 2
1192 94 93 23 28
1193 120 119 29 19
1194 57 56 14 9
1195 109 108 27 22
1196 125 124 31 16
1197 109 108 27 22
1198 81 80 20 30
1199 125 124 31 16
1200 65 64 16 24
1201 9 8 2 3
1202 78 77 19 26
1203 98 97 24 20
1204 56 55 13 11
1205 89 88 22 29
1206 64 63 15 8
1207 115 114 28 18
1208 31 30 7 4
1209 82 81 20 30
1210 112 111 27 22
1211 51 50 12 10
1212 52 51 12 10
1213 57 56 14 9
1214 15 14 3 2
1215 76 75 18 27
1216 5 4 1 1
1217 41 40 10 15
1218 66 65 16 24
1219 123 122 30 17
1220 65 64 16 24
1221 2 1 0 0
1222 81 80 20 30
1223 71 70 17 25
1224 58 57 14 9
1225 49 48 12 10
1226 118 117 29 19
1227 98 97 24 20
1228 96 95 23 28
1229 97 96 24 20
1230 0 127 31 16
1231 112 111 27 22
1232 19 18 4 6
1233 115 114 28 18
1234 66 65 16 24
1235 16 15 3 2
1236 26 25 6 5
1237 114 113 28 18
1238 101 100 25 21
1239 83 82 20 30
1240 114 113 28 18
1241 68 67 16 24
1242 18 17 4 6
1243 39 38 9 13
1244 110 109 27 22
1245 22 21 5 7
1246 101 100 25 21
1247 3 2 0 0
1248 127 126 31 16
1249 73 72 18 27
1250 76 75 18 27
1251 48 47 11 14
1252 96 95 23 28
1253 96 95 23 28
1254 96 95 23 28
1255 96 95 23 28
1256 96 95 23 28
1257 96 95 23 28
1258 96 95 23 28
1259 96 95 23 28
1260 104 103 25 21
1261 111 110 27 22
1262 72 71 17 25
1263 26 25 6 5
1264 26 25 6 5
1265 25 24 6 5
1266 77 76 19 26
1267 93 92 23 28
1268 49 48 12 10
1269 93 92 23 28
1270 90 89 22 29
1271 33 32 8 12
1272 46 45 11 14
1273 66 65 16 24
1274 66 65 16 24
1275 57 56 14 9
1276 57 56 14 9
1277 83 82 20 30
1278 127 126 31 16
1279 50 49 12 10
1280 50 49 12 10
1281 19 18 4 6
1282 86 85 21 31
1283 26 25 6 5
1284 24 23 5 7
1285 45 44 11 14
1286 44 43 10 15
1287 9 8 2 3
1288 9 8 2 3
1289 91 90 22 29
1290 34 33 8 12
1291 98 97 24 20
1292 99 98 24 20
1293 39 38 9 13
1294 39 38 9 13
1295 17 16 4 6
1296 86 85 21 31
1297 66 65 16 24
1298 65 64 16 24
1299 65 64 16 24
1300 96 95 23 28
1301 96 95 23 28
1302 80 79 19 26
1303 20 19 4 6
1304 45 44 11 14
1305 64 63 15 8
1306 31 30 7 4
1307 35 34 8 12
1308 16 15 3 2
1309 72 71 17 25
1310 56 55 13 11
1311 54 53 13 11
1312 113 112 28 18
1313 8 7 1 1
1314 11 10 2 3
1315 105 104 26 23
1316 85 84 21 31
1317 97 96 24 20
1318 93 92 23 28
1319 78 77 19 26
1320 10 9 2 3
1321 48 47 11 14
1322 64 63 15 8
1323 64 63 15 8
1324 64 63 15 8
1325 64 63 15 8
1326 64 63 15 8
1327 64 63 15 8
1328 64 63 15 8
1329 64 63 15 8
1330 64 63 15 8
1331 80 79 19 26
1332 80 79 19 26
1333 124 123 30 17
1334 120 119 29 19
1335 121 120 30 17
1336 45 44 11 14
1337 61 60 15 8
1338 45 44 11 14
1339 17 16 4 6
1340 61 60 15 8
1341 1 0 0 0
1342 73 72 18 27
1343 14 13 3 2
1344 34 33 8 12
1345 120 119 29 19
1346 25 24 6 5
1347 0 127 31 16
1348 51 50 12 10
1349 95 94 23 28
1350 18 17 4 6
1351 48 47 11 14
1352 115 114 28 18
1353 54 53 13 11
1354 121 120 30 17
