#index raw norm_full norm_ldro gray_ldro
317 17 16 4 6
318 117 116 29 19
319 9 8 2 3
320 58 57 14 9
321 110 109 27 22
322 126 125 31 16
323 110 109 27 22
324 82 81 20 30
325 126 125 31 16
326 66 65 16 24
327 10 9 2 3
328 79 78 19 26
329 99 98 24 20
330 57 56 14 9
331 90 89 22 29
332 65 64 16 24
333 116 115 28 18
334 32 31 7 4
335 83 82 20 30
336 113 112 28 18
337 52 51 12 10
338 119 118 29 19
339 58 57 14 9
340 16 15 3 2
341 77 76 19 26
342 6 5 1 1
343 42 41 10 15
344 67 66 16 24
345 124 123 30 17
346 66 65 16 24
347 3 2 0 0
348 82 81 20 30
349 72 71 17 25
350 59 58 14 9
351 50 49 12 10
352 119 118 29 19
353 99 98 24 20
354 97 96 24 20
355 98 97 24 20
356 1 0 0 0
357 113 112 28 18
358 0 127 31 16
359 70 69 17 25
360 11 10 2 3
361 39 38 9 13
362 110 109 27 22
363 89 88 22 29
364 52 51 12 10
365 74 73 18 27
366 64 63 15 8
367 27 26 6 5
368 56 55 13 11
369 23 22 5 7
370 14 13 3 2
371 109 108 27 22
372 63 62 15 8
373 120 119 29 19
374 127 126 31 16
375 6 5 1 1
376 33 32 8 12
377 73 72 18 27
378 97 96 24 20
379 97 96 24 20
380 97 96 24 20
381 97 96 24 20
382 97 96 24 20
383 97 96 24 20
384 97 96 24 20
385 97 96 24 20
386 105 104 26 23
387 113 112 28 18
388 83 82 20 30
389 67 66 16 24
390 26 25 6 5
391 78 77 19 26
392 94 93 23 28
393 78 77 19 26
394 50 49 12 10
395 94 93 23 28
396 34 33 8 12
397 106 105 26 23
398 47 46 11 14
399 67 66 16 24
400 25 24 6 5
401 58 57 14 9
402 33 32 8 12
403 84 83 20 30
404 0 127 31 16
405 51 50 12 10
406 81 80 20 30
407 20 19 4 6
408 87 86 21 31
409 26 25 6 5
410 112 111 27 22
411 45 44 11 14
412 102 101 25 21
413 10 9 2 3
414 35 34 8 12
415 92 91 22 29
416 34 33 8 12
417 99 98 24 20
418 50 49 12 10
419 40 39 9 13
420 27 26 6 5
421 18 17 4 6
422 86 85 21 31
423 66 65 16 24
424 65 64 16 24
425 66 65 16 24
426 97 96 24 20
427 81 80 20 30
428 82 81 20 30
429 78 77 19 26
430 41 40 10 15
431 71 70 17 25
432 100 99 24 20
433 65 64 16 24
434 61 60 15 8
435 76 75 18 27
436 98 97 24 20
437 80 79 19 26
438 116 115 28 18
439 101 100 25 21
440 80 79 19 26
441 85 84 21 31
442 111 110 27 22
443 77 76 19 26
444 53 52 13 11
445 23 22 5 7
446 44 43 10 15
447 23 22 5 7
448 65 64 16 24
449 65 64 16 24
450 65 64 16 24
451 65 64 16 24
452 65 64 16 24
453 65 64 16 24
454 65 64 16 24
455 65 64 16 24
456 73 72 18 27
457 80 79 19 26
458 37 36 9 13
459 120 119 29 19
460 123 122 30 17
461 45 44 11 14
462 61 60 15 8
463 46 45 11 14
464 46 45 11 14
465 62 61 15 8
466 63 62 15 8
467 73 72 18 27
468 15 14 3 2
469 34 33 8 12
470 121 120 30 17
471 120 119 29 19
472 2 1 0 0
473 51 50 12 10
474 95 94 23 28
475 96 95 23 28
476 18 17 4 6
477 115 114 28 18
478 55 54 13 11
479 122 121 30 17
480 80 79 19 26
481 80 79 19 26
482 13 12 3 2
483 70 69 17 25
484 105 104 26 23
485 3 2 0 0
486 3 2 0 0
487 67 66 16 24
488 67 66 16 24
489 18 17 4 6
490 8 7 1 1
491 114 113 28 18
492 54 53 13 11
493 55 54 13 11
494 35 34 8 12
495 33 32 8 12
496 34 33 8 12
497 49 48 12 10
498 49 48 12 10
499 31 30 7 4
500 116 115 28 18
501 76 75 18 27
502 25 24 6 5
503 96 95 23 28
504 118 117 29 19
505 53 52 13 11
506 92 91 22 29
507 100 99 24 20
508 25 24 6 5
509 115 114 28 18
510 127 126 31 16
511 124 123 30 17
512 46 45 11 14
513 64 63 15 8
514 83 82 20 30
515 7 6 1 1
516 22 21 5 7
517 53 52 13 11
518 32 31 7 4
519 33 32 8 12
520 33 32 8 12
521 33 32 8 12
522 33 32 8 12
523 33 32 8 12
524 33 32 8 12
525 33 32 8 12
526 40 39 9 13
527 41 40 10 15
528 48 47 11 14
529 91 90 22 29
530 89 88 22 29
531 90 89 22 29
532 14 13 3 2
533 30 29 7 4
534 14 13 3 2
535 113 112 28 18
536 30 29 7 4
537 98 97 24 20
538 42 41 10 15
539 111 110 27 22
540 3 2 0 0
541 89 88 22 29
542 122 121 30 17
543 97 96 24 20
544 20 19 4 6
545 64 63 15 8
546 114 113 28 18
547 17 16 4 6
548 84 83 20 30
549 23 22 5 7
550 90 89 22 29
551 48 47 11 14
552 108 107 26 23
553 38 37 9 13
554 74 73 18 27
555 99 98 24 20
556 28 27 6 5
557 97 96 24 20
558 35 34 8 12
559 114 113 28 18
560 103 102 25 21
561 91 90 22 29
562 82 81 20 30
563 23 22 5 7
564 3 2 0 0
565 1 0 0 0
566 2 1 0 0
567 33 32 8 12
568 17 16 4 6
569 2 1 0 0
570 34 33 8 12
571 34 33 8 12
572 2 1 0 0
573 89 88 22 29
574 40 39 9 13
575 92 91 22 29
576 65 64 16 24
577 103 102 25 21
578 23 22 5 7
579 26 25 6 5
580 98 97 24 20
581 6 5 1 1
582 30 29 7 4
583 22 21 5 7
584 30 29 7 4
585 102 101 25 21
586 49 48 12 10
587 119 118 29 19
