index,raw_symbol,bin,degray,bits
0,107,108,72,1001000
1,28,29,22,0010110
2,91,92,104,1101000
3,40,41,49,0110001
4,9,10,12,0001100
5,124,125,86,1010110
6,20,21,25,0011001
7,17,18,28,0011100
8,46,47,53,0110101
9,74,75,114,1110010
10,84,85,102,1100110
11,76,77,118,1110110
12,89,90,108,1101100
13,57,58,44,0101100
14,103,104,79,1001111
15,1,2,3,0000011
16,2,3,2,0000010
17,66,67,125,1111101
18,1,2,3,0000011
19,1,2,3,0000011
