#cfo preamble_symbols=7 cfo_int=0 cfo_frac=1.09543e-08 sfo_slope=0
#index best_bin second_bin corrected_bin best_mag second_mag delta
138 912 913 912 71225.8 57097.5 0.23628
139 912 913 912 270106 268912 0.495305
140 631 634 631 174642 174196 0.433882
141 288 289 288 334674 332578 0.493761
142 845 844 845 224695 223687 -0.493933
143 752 753 752 181496 181372 0.497514
144 509 508 509 188605 187433 -0.483689
145 308 309 308 316512 315169 0.495764
146 509 508 509 191287 187764 -0.454816
147 422 423 422 233116 232193 0.49497
148 736 737 736 176738 176295 0.487288
149 396 397 396 250309 246685 0.483593
150 75 76 75 363142 363116 0.499929
151 875 874 875 244683 241083 -0.48284
152 989 990 989 332668 332289 0.498859
153 251 252 251 363522 363207 0.499115
154 643 640 643 174280 173750 -0.438077
155 144 145 145 363172 363171 0.499996
156 673 676 673 171069 169449 0.457558
157 470 471 470 205983 204793 0.489999
158 926 927 926 281859 278104 0.486349
159 56 57 56 363966 363316 0.498181
160 984 985 984 328243 327161 0.49671
161 785 784 785 195615 191568 -0.457511
162 745 744 745 178948 178940 -0.499798
163 260 259 260 424977 424968 -0.499975
164 260 259 260 360251 359786 -0.498678
165 255 256 255 363656 362087 0.49562
166 511 512 511 187475 186433 0.484723
167 767 768 767 187196 186630 0.491517
168 448 447 448 217697 215897 -0.487998
169 352 351 352 281602 280167 -0.494735
170 272 271 272 348649 348643 -0.499983
171 172 930 172 6.16543e-07 5.11623e-07 0.0905367
172 131 116 131 6.68483e-07 5.98402e-07 -0.0186839
173 173 228 173 9.43863e-07 7.06637e-07 2.23572e-06
174 915 739 915 1.13259e-06 6.38079e-07 0.0879836
175 237 728 237 9.73278e-07 6.37599e-07 0.00774743
176 224 455 224 8.25969e-07 6.7057e-07 0.0612798
177 1009 413 1009 7.37416e-07 6.05005e-07 0.046654
178 102 639 102 9.84252e-07 7.92822e-07 0.0023237
179 773 950 773 6.87759e-07 5.91231e-07 -0.00466589
180 649 869 649 7.58548e-07 6.15128e-07 0.0745577
181 679 2 679 8.06566e-07 6.46313e-07 0.00137604
182 455 142 455 6.56602e-07 6.09489e-07 0
183 548 99 548 6.54769e-07 6.0319e-07 -0.0643414
184 76 590 76 7.28881e-07 6.95559e-07 -0.025301
185 832 512 832 1.00461e-06 7.15839e-07 0.00183228
186 178 216 178 5.81812e-07 5.39137e-07 0.0662575
187 233 692 233 5.52309e-07 5.33978e-07 0
188 723 568 723 9.56368e-07 6.93957e-07 0.00140385
189 173 896 173 6.45485e-07 6.25373e-07 0
190 255 256 255 61775.6 61775.3 0.499984
191 256 255 256 424977 424967 -0.499973
192 256 255 256 424978 424967 -0.499972
193 256 255 256 424978 424967 -0.499972
194 256 255 256 424977 424967 -0.499973
195 256 255 256 424977 424967 -0.499973
196 256 255 256 424978 424967 -0.499971
197 256 255 256 424977 424967 -0.499972
198 256 255 256 362989 362975 -0.499962
199 263 264 263 356070 355163 0.497416
200 271 272 271 357532 342171 0.458389
201 224 287 224 1683.9 1683.88 -0.0408935
202 287 224 287 1683.92 1683.89 0.040903
203 656 657 656 425095 424712 0.498988
204 377 376 377 424962 424157 -0.497876
205 33 32 33 426039 423775 -0.494054
206 589 588 589 423832 423240 -0.49843
207 497 496 497 424936 424905 -0.499916
208 253 252 253 425372 424085 -0.496612
209 53 52 53 425677 424191 -0.496087
210 252 253 252 425334 424279 0.497218
211 167 166 167 425250 424650 -0.498418
212 480 481 480 424516 424316 0.499471
213 141 140 141 425727 423677 -0.494615
214 844 843 844 424829 422992 -0.495166
215 618 619 618 424960 424420 0.498573
216 734 733 734 425188 424632 -0.498531
217 1020 1019 1020 425968 423964 -0.494732
218 386 385 386 423785 422868 -0.497572
219 913 912 913 425739 423294 -0.493583
220 419 418 419 424164 423422 -0.498035
221 215 214 215 425433 424210 -0.496778
222 671 670 671 424616 423420 -0.496845
223 825 824 825 425371 424409 -0.497461
224 728 729 728 425165 424691 0.498748
225 528 529 528 424771 424699 0.49981
226 489 488 489 424977 424948 -0.499923
227 4 3 4 426260 423662 -0.493186
228 4 3 4 424972 424972 -0.5
229 0 1023 0 424988 424957 -0.499918
230 256 255 256 424058 422750 -0.496549
231 512 511 512 424593 424589 -0.49999
232 192 191 192 425558 423746 -0.495237
233 96 95 96 425325 424587 -0.498053
234 16 15 16 425288 424652 -0.49832
235 983 934 983 1.00137 1.00127 -0.263894
236 31 461 31 6.68202e-07 6.3051e-07 0.00418938
237 616 471 616 6.81031e-07 6.51795e-07 0.0296802
238 1021 963 1021 8.30926e-07 7.71976e-07 0.0959153
239 923 469 923 8.6814e-07 8.20768e-07 -0.00697628
